Node ID,URL,HTML,Targets,Status,Created At,Messages
40c14cc9-413d-4725-b0de-b66de3dbd47c,https://registrar.duke.edu/student-resources/advanced-placement-credit/,"<a href=""mailto:registrar@duke.edu"" class="""">registrar@duke.edu</a>","p:nth-child(3) > a[href$=""mailto:registrar@duke.edu""]",Equalified,2024-09-04T19:16:46.532+00:00,"violation: Link In Text Block Rule: Ensure links are distinguished from surrounding text in a way that does not rely on color. Links must be distinguishable without relying on color. More information: https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axe-puppeteer | violation: ""The link has insufficient color contrast of 1.99:1 with the surrounding text. (Minimum contrast is 3:1, link text: #0577b1, surrounding text: #464343)"" | violation: The link has no styling (such as underline) to distinguish it from the surrounding text"
83056172-8e86-4cf6-bf61-44a321fcb773,https://registrar.duke.edu/faculty-staff-resources/processing-calendar/,"<a data-entity-substitution=""canonical"" data-entity-type=""node"" data-entity-uuid=""a283f701-49d0-4e28-99fc-f321494eb769"" href=""/registration/"" title=""Registration"">registration windows</a>","td:nth-child(2) > a[title=""Registration""][href$=""registration/""][data-entity-substitution=""canonical""]",Equalified,2024-09-04T19:16:46.352+00:00,"violation: ""The link has insufficient color contrast of 1.99:1 with the surrounding text. (Minimum contrast is 3:1, link text: #0577b1, surrounding text: #464343)"" | violation: The link has no styling (such as underline) to distinguish it from the surrounding text | violation: Link In Text Block Rule: Ensure links are distinguished from surrounding text in a way that does not rely on color. Links must be distinguishable without relying on color. More information: https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axe-puppeteer"
b149ac8e-10e0-4c7d-af3c-328c72e0880d,https://registrar.duke.edu/administrative-resources/training,"<button type=""submit"" class=""btn btn-primary col-1"">",.btn-primary,Equalified,2024-09-03T18:31:41.779+00:00,"violation: Element has no title attribute | violation: Element does not have inner text that is visible to screen readers | violation: aria-label attribute does not exist or is empty | violation: Button Name Rule: Ensure buttons have discernible text. Buttons must have discernible text. More information: https://dequeuniversity.com/rules/axe/4.10/button-name?application=axe-puppeteer | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: ""Element's default semantics were not overridden with role=""""none"""" or role=""""presentation"""""""
ed30c730-081b-4072-afc9-2816051176a7,https://registrar.duke.edu/assessment-accreditation/academic-program-development-and-management,"<button type=""submit"" class=""btn btn-primary col-1"">",.btn-primary,Equalified,2024-09-03T18:31:41.768+00:00,"violation: Button Name Rule: Ensure buttons have discernible text. Buttons must have discernible text. More information: https://dequeuniversity.com/rules/axe/4.10/button-name?application=axe-puppeteer | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: aria-label attribute does not exist or is empty | violation: ""Element's default semantics were not overridden with role=""""none"""" or role=""""presentation"""""" | violation: Element does not have inner text that is visible to screen readers | violation: Element has no title attribute"
0469046c-43e8-4cda-a652-ac104878823d,https://registrar.duke.edu/assessment-accreditation/state-authorization-and-student-complaints-about-delivery-distance,"<button type=""submit"" class=""btn btn-primary col-1"">",.btn-primary,Equalified,2024-09-03T18:31:41.759+00:00,"violation: ""Element's default semantics were not overridden with role=""""none"""" or role=""""presentation"""""" | violation: Element does not have inner text that is visible to screen readers | violation: Button Name Rule: Ensure buttons have discernible text. Buttons must have discernible text. More information: https://dequeuniversity.com/rules/axe/4.10/button-name?application=axe-puppeteer | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: aria-label attribute does not exist or is empty | violation: Element has no title attribute"
8be8522b-a172-4198-b252-7e1412bf7256,https://registrar.duke.edu/programs-initiatives,"<button type=""submit"" class=""btn btn-primary col-1"">",.btn-primary,Equalified,2024-09-03T18:31:41.753+00:00,"violation: aria-label attribute does not exist or is empty | violation: ""Element's default semantics were not overridden with role=""""none"""" or role=""""presentation"""""" | violation: Element has no title attribute | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Element does not have inner text that is visible to screen readers | violation: Button Name Rule: Ensure buttons have discernible text. Buttons must have discernible text. More information: https://dequeuniversity.com/rules/axe/4.10/button-name?application=axe-puppeteer"
563e746e-e0d7-4f1b-bd40-6438d2ea02e5,https://registrar.duke.edu/awards-professorships/nannerl-keohane-visiting-professorship,"<button type=""submit"" class=""btn btn-primary col-1"">",.btn-primary,Equalified,2024-09-03T18:31:41.746+00:00,"violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Element has no title attribute | violation: Button Name Rule: Ensure buttons have discernible text. Buttons must have discernible text. More information: https://dequeuniversity.com/rules/axe/4.10/button-name?application=axe-puppeteer | violation: Element does not have inner text that is visible to screen readers | violation: aria-label attribute does not exist or is empty | violation: ""Element's default semantics were not overridden with role=""""none"""" or role=""""presentation"""""""
3a428a5e-94ce-4bcd-b217-aa159b064bd0,https://registrar.duke.edu/awards-professorships/distinguished-professors,"<button type=""submit"" class=""btn btn-primary col-1"">",.btn-primary,Equalified,2024-09-03T18:31:41.725+00:00,"violation: aria-label attribute does not exist or is empty | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Element has no title attribute | violation: Button Name Rule: Ensure buttons have discernible text. Buttons must have discernible text. More information: https://dequeuniversity.com/rules/axe/4.10/button-name?application=axe-puppeteer | violation: Element does not have inner text that is visible to screen readers | violation: ""Element's default semantics were not overridden with role=""""none"""" or role=""""presentation"""""""
7335182d-c97b-4f37-a8b2-f3558d4d08c0,https://registrar.duke.edu/help-guides/coursedog-bulletin-edits/,"<a href=""mailto:bulletins@duke.edu"" class="""">bulletins@duke.edu</a>",".paragraph__wysiwyg > p:nth-child(3) > a[href$=""mailto:bulletins@duke.edu""]",Equalified,2024-09-04T19:16:45.722+00:00,"violation: Link In Text Block Rule: Ensure links are distinguished from surrounding text in a way that does not rely on color. Links must be distinguishable without relying on color. More information: https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axe-puppeteer | violation: ""The link has insufficient color contrast of 1.99:1 with the surrounding text. (Minimum contrast is 3:1, link text: #0577b1, surrounding text: #464343)"" | violation: The link has no styling (such as underline) to distinguish it from the surrounding text"
c24e0eed-b54a-497d-afc2-f0e9c98e73ac,https://registrar.duke.edu/about/strategic-vision,"<button type=""submit"" class=""btn btn-primary col-1"">",.btn-primary,Equalified,2024-09-03T18:31:41.765+00:00,"violation: ""Element's default semantics were not overridden with role=""""none"""" or role=""""presentation"""""" | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Button Name Rule: Ensure buttons have discernible text. Buttons must have discernible text. More information: https://dequeuniversity.com/rules/axe/4.10/button-name?application=axe-puppeteer | violation: Element does not have inner text that is visible to screen readers | violation: Element has no title attribute | violation: aria-label attribute does not exist or is empty"
